"stage","log_parameter","finite_count","rms_nis","accepted_count","rejected_count","rejected_rate","segment_bucket_count"
"SEC_20_LAUNCH","forward_accel_nis","52167","6.4081120505351112","51999","168","0.0032204267065386164","210"
"SEC_20_LAUNCH","right_accel_nis","52167","1.6125774578478307","52124","43","0.00082427588322119352","210"
"SEC_20_LAUNCH","yaw_rate_nis","52167","1.1892626202083889","52167","0","0","210"
"SEC_30_STRAIGHT","forward_accel_nis","32803","47.375352012430227","31465","1338","0.040788952229978963","18"
"SEC_30_STRAIGHT","right_accel_nis","32803","12.399804424070535","32138","665","0.020272536048532148","18"
"SEC_30_STRAIGHT","yaw_rate_nis","32803","31.324323010934833","32803","0","0","18"
"SEC_40_YAW","forward_accel_nis","11254","4.3818234305082058","11244","10","0.00088857295183934596","1"
"SEC_40_YAW","right_accel_nis","11254","4.1213462264882512","11243","11","0.00097743024702328057","1"
"SEC_40_YAW","yaw_rate_nis","11254","10.984758191239026","11254","0","0","1"
"launch","forward_accel_nis","26200","5.8565704971318162","26127","73","0.0027862595419847328","90"
"launch","right_accel_nis","26200","3.8883475086957371","26145","55","0.0020992366412213742","90"
"launch","yaw_rate_nis","26200","7.4676864952271078","26200","0","0","90"
"mixed_launch","forward_accel_nis","77263","11.868727078780145","76615","648","0.0083869381204457506","160"
"mixed_launch","right_accel_nis","77263","8.7363644925138448","76300","963","0.012463921928995769","160"
"mixed_launch","yaw_rate_nis","77263","12.078734551529497","77263","0","0","160"
"straight","forward_accel_nis","1095","90.228341608777882","726","369","0.33698630136986302","1"
"straight","right_accel_nis","1095","54.134523371397684","875","220","0.20091324200913241","1"
"straight","yaw_rate_nis","1095","227.46042395010534","1095","0","0","1"
"yaw_launch","forward_accel_nis","174625","106.52065364758818","147289","27336","0.15654115962777379","278"
"yaw_launch","right_accel_nis","174625","53.831221508041295","153871","20754","0.11884896206156048","278"
"yaw_launch","yaw_rate_nis","174625","130.14539281696429","174625","0","0","278"
