model,case_id,samples,duration_s,final_global_x_m,final_global_y_m,final_body_right_m,final_body_forward_m,final_global_radial_m,final_body_radial_m,max_global_radial_m,max_body_radial_m,position_limit_m,pass_5mm,source_rows,position_source
stribeck_fade,ekf_full,30523,30.522,0.000148669046334,-0.14513125163,-0.00158601082473,-0.0844174498507,0.145131327777,0.0844323472944,0.145131327777,0.0844323472944,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_stability_analysis\replay_rows\residual_diagnostics.csv,artifact_px_py
stribeck_fade,ekf_prediction_only_zero_encoder,30523,30.522,0,0,0,0,0,0,0,0,0.005,true,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_encoder_ablation\prediction_only_rows.csv,integrated_vf_vr_heading
stribeck_fade,simplex_ukf_full,30523,30.522,0.0160127473602,0.0500811779435,0.0168496042231,0.04978267463,0.0525788214229,0.0525568630703,0.0525788214229,0.0525568630703,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_simplex_ukf_analysis\simplex_ukf_rows.csv,integrated_vf_vr_heading
stribeck_fade,simplex_ukf_prediction_only_zero_encoder,30523,30.522,-0.0171008455454,-0.0100400294127,-0.0170209388875,-0.0101716090121,0.0198303078387,0.019828615446,0.0198303078387,0.019828615446,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_simplex_ukf_analysis\simplex_ukf_rows.csv,integrated_vf_vr_heading
slip_envelope,ekf_full,30523,30.522,0.00217321108444,-0.220840090337,-0.00143003961714,-0.137691256852,0.220850782988,0.137698682734,0.220850782988,0.137698682734,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_stability_analysis\replay_rows\residual_diagnostics.csv,artifact_px_py
slip_envelope,ekf_prediction_only_zero_encoder,30523,30.522,0,0,0,0,0,0,0,0,0.005,true,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_encoder_ablation\prediction_only_rows.csv,integrated_vf_vr_heading
slip_envelope,simplex_ukf_full,30523,30.522,0.0249159763706,0.0885272299084,0.0261720676016,0.0881661774406,0.0919667130747,0.0919687553848,0.0919667130747,0.0919687553848,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_simplex_ukf_analysis\simplex_ukf_rows.csv,integrated_vf_vr_heading
slip_envelope,simplex_ukf_prediction_only_zero_encoder,30523,30.522,-0.0253192355344,-0.0157239788111,-0.0253045600606,-0.0157471990559,0.0298044828457,0.0298042788533,0.0298044828457,0.0298042788533,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_simplex_ukf_analysis\simplex_ukf_rows.csv,integrated_vf_vr_heading
in_shear,ekf_full,30523,30.522,-0.000460308105806,-0.141773776541,-0.0015833999176,-0.082428302408,0.141774523799,0.0824435091027,0.141774523799,0.0824435091027,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_stability_analysis\replay_rows\residual_diagnostics.csv,artifact_px_py
in_shear,ekf_prediction_only_zero_encoder,30523,30.522,0,0,0,0,0,0,0,0,0.005,true,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_encoder_ablation\prediction_only_rows.csv,integrated_vf_vr_heading
in_shear,simplex_ukf_full,30523,30.522,-0.00104267636029,0.0600458265747,-0.00028176231174,0.0599775577203,0.0600548787613,0.0599782195475,0.0600548787613,0.0599782195475,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_simplex_ukf_analysis\simplex_ukf_rows.csv,integrated_vf_vr_heading
in_shear,simplex_ukf_prediction_only_zero_encoder,30523,30.522,-0.0137100730374,-0.01116016204,-0.0136555362329,-0.0112261653818,0.0176781028239,0.0176776825118,0.0176781028239,0.0176776825118,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_simplex_ukf_analysis\simplex_ukf_rows.csv,integrated_vf_vr_heading
shear_rate,ekf_full,30523,30.522,-0.000482354915073,-0.137350889152,-0.00161153561965,-0.07942274257,0.137351736127,0.0794390904051,0.137351736127,0.0794390904051,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_stability_analysis\replay_rows\residual_diagnostics.csv,artifact_px_py
shear_rate,ekf_prediction_only_zero_encoder,30523,30.522,0,0,0,0,0,0,0,0,0.005,true,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_encoder_ablation\prediction_only_rows.csv,integrated_vf_vr_heading
shear_rate,simplex_ukf_full,30523,30.522,0.00828927960875,0.0478080095689,0.00869473505129,0.0477311218259,0.0485213142379,0.0485165786961,0.0485213142379,0.0485165786961,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_simplex_ukf_analysis\simplex_ukf_rows.csv,integrated_vf_vr_heading
shear_rate,simplex_ukf_prediction_only_zero_encoder,30523,30.522,-0.0144689719311,-0.0104524454142,-0.0143976298001,-0.010549094208,0.017849503183,0.0178486731291,0.017849503183,0.0178486731291,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_simplex_ukf_analysis\simplex_ukf_rows.csv,integrated_vf_vr_heading
skew_shear,ekf_full,30523,30.522,-7.07734335966e-06,-0.144191542466,-0.00158545111239,-0.0838023169756,0.14419154264,0.0838173131621,0.14419154264,0.0838173131621,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_stability_analysis\replay_rows\residual_diagnostics.csv,artifact_px_py
skew_shear,ekf_prediction_only_zero_encoder,30523,30.522,0,0,0,0,0,0,0,0,0.005,true,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_encoder_ablation\prediction_only_rows.csv,integrated_vf_vr_heading
skew_shear,simplex_ukf_full,30523,30.522,0.0159711208453,0.0517597805754,0.0166327434753,0.0515460234086,0.0541678095023,0.0541630933824,0.0541678095023,0.0541630933824,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_simplex_ukf_analysis\simplex_ukf_rows.csv,integrated_vf_vr_heading
skew_shear,simplex_ukf_prediction_only_zero_encoder,30523,30.522,-0.0162918032636,-0.0103351127362,-0.0162108521823,-0.0104598598818,0.0192934550781,0.0192924958786,0.0192934550781,0.0192924958786,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_simplex_ukf_analysis\simplex_ukf_rows.csv,integrated_vf_vr_heading
baseline,ekf_full,30523,30.522,0.121652866352,-0.96100021865,0.081874840992,-0.384908539563,0.968669623833,0.393520105478,0.968728503353,0.393520105478,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_stability_analysis\replay_rows\residual_diagnostics.csv,artifact_px_py
baseline,ekf_prediction_only_zero_encoder,30523,30.522,0,0,0,0,0,0,0,0,0.005,true,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_encoder_ablation\prediction_only_rows.csv,integrated_vf_vr_heading
baseline,simplex_ukf_full,30523,30.522,-0.0567758880688,-2.02875206137,-0.0450271746332,-2.0289248915,2.02954636015,2.02942446566,2.02954636015,2.02942446566,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_simplex_ukf_analysis\simplex_ukf_rows.csv,integrated_vf_vr_heading
baseline,simplex_ukf_prediction_only_zero_encoder,30523,30.522,-0.0284668372703,0.00773757376482,-0.008940626407,0.028511845616,0.0294996757938,0.0298807654015,0.0294996757938,0.0298807654015,0.005,false,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\round_20260611\static_simplex_ukf_analysis\simplex_ukf_rows.csv,integrated_vf_vr_heading
