candidate_id,stream,bin_kind,bin_value,count,segment_count,mean_residual,median_residual,rms_residual,measurement_mean,prediction_mean,positive_fraction,negative_fraction,zero_fraction,mean_sign,median_sign
baseline,forward_accel,all,all,174625,236,-901.809830336,-149.685409558,1633.92755253,1.5151533642,903.324983701,0.0560286327845,0.943971367215,0,negative,negative
baseline,forward_accel,command_bucket,"pair=-0.30,0.30;yaw=0.30",2500,10,0.119268652012,-0.344942496623,1.5918184496,-0.0209751283474,-0.140243780359,0.294,0.706,0,positive,negative
baseline,forward_accel,command_bucket,"pair=-0.35,0.35;yaw=0.35",2500,10,0.0560627613356,-0.447994467625,1.84504964163,-0.0052426624264,-0.061305423762,0.1996,0.8004,0,positive,negative
baseline,forward_accel,command_bucket,"pair=-0.40,0.40;yaw=0.40",2500,10,-0.660865695655,-0.875443349056,2.57829985416,-0.00989983313462,0.65096586252,0.174,0.826,1.11022302463e-16,negative,negative
baseline,forward_accel,command_bucket,"pair=-0.45,0.45;yaw=0.45",2500,10,-3.59265367067,-5.03869682933,5.98393721145,-0.0124594598063,3.58019421086,0.1628,0.8372,-1.11022302463e-16,negative,negative
baseline,forward_accel,command_bucket,"pair=-0.50,0.50;yaw=0.50",11500,19,-7.98884191556,-8.12688371272,10.4012351129,-0.0169359281858,7.97190598737,0.079652173913,0.920347826087,0,negative,negative
baseline,forward_accel,command_bucket,"pair=-0.55,0.55;yaw=0.55",10250,14,-64.7568066092,-37.3947767547,124.074570192,0.005246430916,64.7620530401,0.0638048780488,0.936195121951,-1.11022302463e-16,negative,negative
baseline,forward_accel,command_bucket,"pair=-0.60,0.60;yaw=0.60",9000,9,-467.532881151,-143.109377357,873.66593548,0.0149141225807,467.547795274,0.0474444444444,0.952555555556,0,negative,negative
baseline,forward_accel,command_bucket,"pair=-0.65,0.65;yaw=0.65",9000,9,-810.525612487,-528.318160775,1188.80380161,0.0190853459729,810.544697833,0.0497777777778,0.950222222222,0,negative,negative
baseline,forward_accel,command_bucket,"pair=-0.70,0.70;yaw=0.70",9000,9,-1448.03551486,-1130.18497344,1939.06188237,0.575466862929,1448.61098172,0.0485555555556,0.951444444444,0,negative,negative
baseline,forward_accel,command_bucket,"pair=-0.75,0.75;yaw=0.75",9000,9,-1476.94740579,-1127.41914443,1988.23493998,2.91072516687,1479.85813096,0.046,0.954,0,negative,negative
baseline,forward_accel,command_bucket,"pair=-0.80,0.80;yaw=0.80",9000,9,-1583.44654024,-1182.96031553,2132.49025541,8.83956205802,1592.2861023,0.0424444444444,0.957555555556,0,negative,negative
baseline,forward_accel,command_bucket,"pair=0.00,0.00;yaw=0.00",21125,42,-2225.49589932,-1878.1047188,3029.68930848,0.202385511858,2225.69828483,0.100165680473,0.899834319527,0,negative,negative
baseline,forward_accel,command_bucket,"pair=0.30,-0.30;yaw=-0.30",2500,10,-0.966793466585,-0.531007232526,1.91869530742,-0.0409258944122,0.925867572173,0.2776,0.7224,-1.11022302463e-16,negative,negative
baseline,forward_accel,command_bucket,"pair=0.35,-0.35;yaw=-0.35",2500,10,-1.45673361193,-0.390102710204,3.11295485336,-0.0144219736056,1.44231163832,0.3188,0.6812,0,negative,negative
baseline,forward_accel,command_bucket,"pair=0.40,-0.40;yaw=-0.40",2500,10,-3.58015566761,-2.07384322728,5.63990983458,-0.0127683214604,3.56738734614,0.1584,0.8416,0,negative,negative
baseline,forward_accel,command_bucket,"pair=0.45,-0.45;yaw=-0.45",2500,10,-9.64404595262,-8.66982727183,10.4422706334,-0.0103063260694,9.63373962655,0.004,0.996,0,negative,negative
baseline,forward_accel,command_bucket,"pair=0.50,-0.50;yaw=-0.50",11500,19,-56.1006377622,-11.2220837571,133.263159713,-0.00743125653682,56.0932065057,0.000608695652174,0.999391304348,0,negative,negative
baseline,forward_accel,command_bucket,"pair=0.55,-0.55;yaw=-0.55",10250,14,-212.916044071,-63.5542438992,404.153782747,0.0218501802138,212.937894251,0.00019512195122,0.999804878049,0,negative,negative
baseline,forward_accel,command_bucket,"pair=0.60,-0.60;yaw=-0.60",9000,9,-415.303868046,-203.385604528,678.836662638,0.0660636322242,415.369931678,0,1,0,negative,negative
baseline,forward_accel,command_bucket,"pair=0.65,-0.65;yaw=-0.65",9000,9,-905.708520011,-630.373279652,1285.84352063,0.261298289457,905.969818301,0.000222222222222,0.999777777778,0,negative,negative
baseline,forward_accel,command_bucket,"pair=0.70,-0.70;yaw=-0.70",9000,9,-1547.17810341,-1209.7058534,2053.75125652,1.24099593184,1548.41909934,0.000444444444444,0.999555555556,0,negative,negative
baseline,forward_accel,command_bucket,"pair=0.75,-0.75;yaw=-0.75",9000,9,-1610.5236629,-1209.94062322,2154.10174863,4.20335856337,1614.72702146,0.000111111111111,0.999888888889,0,negative,negative
baseline,forward_accel,command_bucket,"pair=0.80,-0.80;yaw=-0.80",9000,9,-1605.07013799,-1203.72294429,2149.17852306,10.827223765,1615.89736176,0.000111111111111,0.999888888889,0,negative,negative
baseline,forward_accel,command_polarity,negative_yaw_command,76750,118,-750.758628521,-162.194966299,1361.16409134,1.94570567095,752.704334191,0.0249381107492,0.975061889251,0,negative,negative
baseline,forward_accel,command_polarity,positive_yaw_command,76750,118,-688.523987107,-77.2818314199,1301.93072958,1.44593292561,689.969920032,0.0749706840391,0.925029315961,0,negative,negative
baseline,forward_accel,command_polarity,zero_yaw_command,21125,42,-2225.49589932,-1878.1047188,3029.68930848,0.202385511858,2225.69828483,0.100165680473,0.899834319527,0,negative,negative
baseline,forward_accel,high_command,high_command,54000,54,-1545.20022753,-1176.42035758,2071.1337773,4.766222058,1549.96644959,0.0229444444444,0.977055555556,0,negative,negative
baseline,forward_accel,high_command,low_command,120625,200,-613.784284649,-42.4483610643,1394.47194849,0.059752663973,613.844037313,0.0708393782383,0.929160621762,0,negative,negative
baseline,right_accel,all,all,174625,236,-900.152439373,-148.20209834,1632.24952672,2.8161780138,902.968617387,0.0532856120258,0.946714387974,0,negative,negative
baseline,right_accel,command_bucket,"pair=-0.30,0.30;yaw=0.30",2500,10,-0.841879011201,-0.440075730932,1.57227923104,0.0012120943502,0.843091105551,0.1292,0.8708,0,negative,negative
baseline,right_accel,command_bucket,"pair=-0.35,0.35;yaw=0.35",2500,10,-0.943274425802,-0.477264325076,1.75448216853,-0.000372106666512,0.942902319135,0.1372,0.8628,0,negative,negative
baseline,right_accel,command_bucket,"pair=-0.40,0.40;yaw=0.40",2500,10,-1.13295196753,-0.224817458299,2.94714851165,-0.000346883211062,1.13260508431,0.358,0.642,0,negative,negative
baseline,right_accel,command_bucket,"pair=-0.45,0.45;yaw=0.45",2500,10,-6.09683992506,-5.60648146168,6.97145203958,0.000814248388437,6.09765417345,0,1,0,negative,negative
baseline,right_accel,command_bucket,"pair=-0.50,0.50;yaw=0.50",11500,19,-10.1309405923,-8.91820682178,11.8493797155,-0.019149952638,10.1117906396,0,1,0,negative,negative
baseline,right_accel,command_bucket,"pair=-0.55,0.55;yaw=0.55",10250,14,-69.0596744882,-39.5469028719,125.603505116,-0.0134562338506,69.0462182544,0,1,0,negative,negative
baseline,right_accel,command_bucket,"pair=-0.60,0.60;yaw=0.60",9000,9,-477.251482052,-147.614431146,882.22771981,0.021649375597,477.273131428,0,1,0,negative,negative
baseline,right_accel,command_bucket,"pair=-0.65,0.65;yaw=0.65",9000,9,-827.27864075,-542.79305816,1201.54056579,0.161167154046,827.439807904,0,1,0,negative,negative
baseline,right_accel,command_bucket,"pair=-0.70,0.70;yaw=0.70",9000,9,-1469.33045611,-1152.17383728,1954.47975708,1.92419970475,1471.25465581,0,1,0,negative,negative
baseline,right_accel,command_bucket,"pair=-0.75,0.75;yaw=0.75",9000,9,-1495.78062342,-1152.08986924,2001.16407569,7.54801013473,1503.32863356,0,1,0,negative,negative
baseline,right_accel,command_bucket,"pair=-0.80,0.80;yaw=0.80",9000,9,-1594.82776531,-1189.61176182,2138.79221602,21.4555554982,1616.28332081,0,1,0,negative,negative
baseline,right_accel,command_bucket,"pair=0.00,0.00;yaw=0.00",21125,42,-2226.72813428,-1880.10631574,3031.34845438,0.257712465282,2226.98584675,0.0888047337278,0.911195266272,0,negative,negative
baseline,right_accel,command_bucket,"pair=0.30,-0.30;yaw=-0.30",2500,10,-0.0862626572689,-0.475644722084,1.74217528103,-0.000918749148932,0.08534390812,0.2172,0.7828,-1.11022302463e-16,negative,negative
baseline,right_accel,command_bucket,"pair=0.35,-0.35;yaw=-0.35",2500,10,-0.523019155959,-0.794188331863,2.734675896,0.000416630534736,0.523435786494,0.2044,0.7956,0,negative,negative
baseline,right_accel,command_bucket,"pair=0.40,-0.40;yaw=-0.40",2500,10,-2.29332720607,-3.54065914325,5.25879361604,0.000475775024914,2.29380298109,0.1888,0.8112,0,negative,negative
baseline,right_accel,command_bucket,"pair=0.45,-0.45;yaw=-0.45",2500,10,-6.01259025251,-8.73677529029,9.20975374874,0.00375974188001,6.01634999439,0.1864,0.8136,0,negative,negative
baseline,right_accel,command_bucket,"pair=0.50,-0.50;yaw=-0.50",11500,19,-52.1372703835,-9.69265887707,130.174523261,-0.013615916853,52.1236544667,0.0839130434783,0.916086956522,0,negative,negative
baseline,right_accel,command_bucket,"pair=0.55,-0.55;yaw=-0.55",10250,14,-204.506773006,-58.028077053,397.318719569,-0.00349888357099,204.503274123,0.0689756097561,0.931024390244,-1.11022302463e-16,negative,negative
baseline,right_accel,command_bucket,"pair=0.60,-0.60;yaw=-0.60",9000,9,-404.172234069,-197.502918195,669.010255378,0.042944432703,404.215178502,0.0483333333333,0.951666666667,0,negative,negative
baseline,right_accel,command_bucket,"pair=0.65,-0.65;yaw=-0.65",9000,9,-889.288789612,-618.731408872,1272.43312657,0.2788360707,889.567625683,0.05,0.95,0,negative,negative
baseline,right_accel,command_bucket,"pair=0.70,-0.70;yaw=-0.70",9000,9,-1523.57087096,-1186.37138664,2036.0058309,1.24605435018,1524.81692531,0.0503333333333,0.949666666667,0,negative,negative
baseline,right_accel,command_bucket,"pair=0.75,-0.75;yaw=-0.75",9000,9,-1585.10956379,-1186.10497233,2134.15850561,5.62915539012,1590.73871918,0.0483333333333,0.951666666667,0,negative,negative
baseline,right_accel,command_bucket,"pair=0.80,-0.80;yaw=-0.80",9000,9,-1576.11424219,-1173.38964155,2125.43470719,15.7889729342,1591.90321513,0.0478888888889,0.952111111111,0,negative,negative
baseline,right_accel,command_polarity,negative_yaw_command,76750,118,-736.447717739,-150.654159734,1347.55195374,2.6930365537,739.140754293,0.0764560260586,0.923543973941,0,negative,negative
baseline,right_accel,command_polarity,positive_yaw_command,76750,118,-698.724762898,-86.3951539814,1310.21263348,3.64352253207,702.36828543,0.020338762215,0.979661237785,0,negative,negative
baseline,right_accel,command_polarity,zero_yaw_command,21125,42,-2226.72813428,-1880.10631574,3031.34845438,0.257712465282,2226.98584675,0.0888047337278,0.911195266272,0,negative,negative
baseline,right_accel,high_command,high_command,54000,54,-1540.7889203,-1172.12587191,2066.25691719,8.93199133536,1549.72091163,0.0244259259259,0.975574074074,0,negative,negative
baseline,right_accel,high_command,low_command,120625,200,-613.35973496,-42.3924785609,1394.86578367,0.0783216874748,613.438056648,0.0662051813472,0.933794818653,0,negative,negative
baseline,yaw_rate,all,all,174625,236,-4.48011575355,-0.175407629022,167.005605442,0.117454134362,4.59756988792,0.499143879742,0.500856120258,0,negative,negative
baseline,yaw_rate,command_bucket,"pair=-0.30,0.30;yaw=0.30",2500,10,3.33126072174,3.36358506774,3.41016392288,-0.0752035142808,-3.40646423602,1,0,0,positive,positive
baseline,yaw_rate,command_bucket,"pair=-0.35,0.35;yaw=0.35",2500,10,3.67045519517,3.69254746208,3.76108375175,-0.0719540871657,-3.74240928233,1,0,0,positive,positive
baseline,yaw_rate,command_bucket,"pair=-0.40,0.40;yaw=0.40",2500,10,5.03767969972,4.16534757028,5.38289775483,-0.089051089588,-5.1267307893,1,0,0,positive,positive
baseline,yaw_rate,command_bucket,"pair=-0.45,0.45;yaw=0.45",2500,10,12.0229585141,12.6973044104,12.5457182486,-0.170132758904,-12.1930912731,1,0,0,positive,positive
baseline,yaw_rate,command_bucket,"pair=-0.50,0.50;yaw=0.50",11500,19,16.3574671697,16.3148114082,17.3349127811,-0.110568576986,-16.4680357466,1,0,0,positive,positive
baseline,yaw_rate,command_bucket,"pair=-0.55,0.55;yaw=0.55",10250,14,40.2383487612,35.6384064184,47.0773060518,-0.168259490106,-40.4066082513,1,0,0,positive,positive
baseline,yaw_rate,command_bucket,"pair=-0.60,0.60;yaw=0.60",9000,9,97.3602563945,69.226409167,124.830676894,-0.600310577189,-97.9605669717,1,0,0,positive,positive
baseline,yaw_rate,command_bucket,"pair=-0.65,0.65;yaw=0.65",9000,9,140.373492959,132.606153631,163.737099307,-1.42017546682,-141.793668426,1,0,0,positive,positive
baseline,yaw_rate,command_bucket,"pair=-0.70,0.70;yaw=0.70",9000,9,185.905360239,189.131344292,214.466661852,-6.32536156774,-192.230721806,1,0,0,positive,positive
baseline,yaw_rate,command_bucket,"pair=-0.75,0.75;yaw=0.75",9000,9,179.531727438,179.642013879,208.703534499,-14.3499113214,-193.881638759,1,0,0,positive,positive
baseline,yaw_rate,command_bucket,"pair=-0.80,0.80;yaw=0.80",9000,9,174.811633585,171.334876967,206.650318233,-25.6021924211,-200.413826006,1,0,0,positive,positive
baseline,yaw_rate,command_bucket,"pair=0.00,0.00;yaw=0.00",21125,42,-9.72147646671,-0.187603171827,271.28782736,0.127213694775,9.84869016148,0.492923076923,0.507076923077,0,negative,negative
baseline,yaw_rate,command_bucket,"pair=0.30,-0.30;yaw=-0.30",2500,10,-3.43903621363,-3.3568661515,3.53873128429,0.0945932159511,3.53362942958,0,1,0,negative,negative
baseline,yaw_rate,command_bucket,"pair=0.35,-0.35;yaw=-0.35",2500,10,-4.53810389759,-3.75866973855,4.86964150656,0.121437474874,4.65954137246,0,1,0,negative,negative
baseline,yaw_rate,command_bucket,"pair=0.40,-0.40;yaw=-0.40",2500,10,-8.96673435723,-9.05861691544,9.66997284292,0.169318301741,9.13605265897,0,1,0,negative,negative
baseline,yaw_rate,command_bucket,"pair=0.45,-0.45;yaw=-0.45",2500,10,-15.2478140155,-16.6607224558,15.9366175937,0.243051639113,15.4908656546,0,1,0,negative,negative
baseline,yaw_rate,command_bucket,"pair=0.50,-0.50;yaw=-0.50",11500,19,-29.5719507111,-18.1110190794,42.1902204654,0.191488714472,29.7634394256,0,1,0,negative,negative
baseline,yaw_rate,command_bucket,"pair=0.55,-0.55;yaw=-0.55",10250,14,-65.1439652453,-44.5921953872,82.9843140221,0.362819136287,65.5067843816,0,1,0,negative,negative
baseline,yaw_rate,command_bucket,"pair=0.60,-0.60;yaw=-0.60",9000,9,-96.6937835901,-81.5433967626,115.935492325,0.721348208746,97.4151317988,0,1,0,negative,negative
baseline,yaw_rate,command_bucket,"pair=0.65,-0.65;yaw=-0.65",9000,9,-147.476066174,-142.942544966,170.728163241,2.11462312124,149.590689295,0,1,0,negative,negative
baseline,yaw_rate,command_bucket,"pair=0.70,-0.70;yaw=-0.70",9000,9,-190.047754191,-192.638708181,219.703331426,6.75318420861,196.800938399,0,1,0,negative,negative
baseline,yaw_rate,command_bucket,"pair=0.75,-0.75;yaw=-0.75",9000,9,-185.089859434,-183.529531996,216.279363284,15.1955381197,200.285397554,0,1,0,negative,negative
baseline,yaw_rate,command_bucket,"pair=0.80,-0.80;yaw=-0.80",9000,9,-175.275180286,-172.024181735,207.208435903,25.1069324739,200.38211276,0,1,0,negative,negative
baseline,yaw_rate,command_polarity,negative_yaw_command,76750,118,-107.355388811,-68.6445870367,149.577132669,5.94809971508,113.303488526,0,1,0,negative,negative
baseline,yaw_rate,command_polarity,positive_yaw_command,76750,118,99.8378119624,49.6915277058,144.319268587,-5.71587770973,-105.553689672,1,0,0,positive,positive
baseline,yaw_rate,command_polarity,zero_yaw_command,21125,42,-9.72147646671,-0.187603171827,271.28782736,0.127213694775,9.84869016148,0.492923076923,0.507076923077,0,negative,negative
baseline,yaw_rate,high_command,high_command,54000,54,-1.69401210826,-0.00772133469582,212.225949213,0.12969824867,1.82371035693,0.5,0.5,0,negative,negative
baseline,yaw_rate,high_command,low_command,120625,200,-5.72736629735,-0.175407629022,142.175297955,0.111972831376,5.83933912873,0.498760621762,0.501239378238,0,negative,negative
in_shear,forward_accel,all,all,174625,236,-1.52127188274,-0.135519173139,6.19246677609,1.5151533642,3.03642524694,0.44157480315,0.55842519685,0,negative,negative
in_shear,forward_accel,command_bucket,"pair=-0.30,0.30;yaw=0.30",2500,10,-0.0129265976925,-0.0232769332452,0.900893779584,-0.0209751283474,-0.00804853065491,0.488,0.512,0,negative,negative
in_shear,forward_accel,command_bucket,"pair=-0.35,0.35;yaw=0.35",2500,10,-0.000367786561393,-0.00406848193119,0.881888687513,-0.0052426624264,-0.00487487586501,0.4976,0.5024,0,negative,negative
in_shear,forward_accel,command_bucket,"pair=-0.40,0.40;yaw=0.40",2500,10,-0.0179078573257,-0.0190624740296,1.00162369174,-0.00989983313462,0.00800802419108,0.4876,0.5124,0,negative,negative
in_shear,forward_accel,command_bucket,"pair=-0.45,0.45;yaw=0.45",2500,10,-0.106949975611,-0.153877621027,1.60176929406,-0.0124594598063,0.0944905158044,0.438,0.562,0,negative,negative
in_shear,forward_accel,command_bucket,"pair=-0.50,0.50;yaw=0.50",11500,19,-0.082279337961,-0.0527800943996,1.28888232942,-0.0169359281858,0.0653434097752,0.467565217391,0.532434782609,0,negative,negative
in_shear,forward_accel,command_bucket,"pair=-0.55,0.55;yaw=0.55",10250,14,-0.0926994101282,-0.0903276634232,1.40855066575,0.005246430916,0.0979458410442,0.431707317073,0.568292682927,1.11022302463e-16,negative,negative
in_shear,forward_accel,command_bucket,"pair=-0.60,0.60;yaw=0.60",9000,9,-0.143066366667,-0.135611050882,2.1601459913,0.0149141225807,0.157980489248,0.407666666667,0.592333333333,0,negative,negative
in_shear,forward_accel,command_bucket,"pair=-0.65,0.65;yaw=0.65",9000,9,-0.190115331571,-0.145476772978,3.20807236017,0.0190853459729,0.209200677544,0.449,0.551,-1.11022302463e-16,negative,negative
in_shear,forward_accel,command_bucket,"pair=-0.70,0.70;yaw=0.70",9000,9,-0.523531459344,-0.008344040597,4.77191447343,0.575466862929,1.09899832227,0.499444444444,0.500555555556,0,negative,negative
in_shear,forward_accel,command_bucket,"pair=-0.75,0.75;yaw=0.75",9000,9,-3.57231373139,-1.96959448134,8.125952538,2.91072516687,6.48303889826,0.339555555556,0.660444444444,0,negative,negative
in_shear,forward_accel,command_bucket,"pair=-0.80,0.80;yaw=0.80",9000,9,-10.4745378866,-6.77428772757,15.8408640088,8.83956205802,19.3140999446,0.177,0.823,0,negative,negative
in_shear,forward_accel,command_bucket,"pair=0.00,0.00;yaw=0.00",21125,42,-0.0462106988819,0.00274004637969,1.37893221078,0.202385511858,0.24859621074,0.501964497041,0.498035502959,0,negative,positive
in_shear,forward_accel,command_bucket,"pair=0.30,-0.30;yaw=-0.30",2500,10,-0.046642244815,-0.0696272176862,1.06262366345,-0.0409258944122,0.00571635040281,0.4624,0.5376,1.11022302463e-16,negative,negative
in_shear,forward_accel,command_bucket,"pair=0.35,-0.35;yaw=-0.35",2500,10,-0.0213994901851,-0.0142883653,0.980694337643,-0.0144219736056,0.00697751657948,0.4884,0.5116,0,negative,negative
in_shear,forward_accel,command_bucket,"pair=0.40,-0.40;yaw=-0.40",2500,10,-0.0013809910813,0.0570541181413,1.19895147304,-0.0127683214604,-0.0113873303791,0.5368,0.4632,-5.55111512313e-17,negative,positive
