phase,candidate_id,trial_id,split,stage,log_parameter,count,accepted_count,finite_count,nonfinite_count,rms_nis,accepted_only_rms_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,rejected_count,rejected_rate
stress_full_rows,in_shear,in_shear:trial_120,held_out,launch,forward_accel_residual_tail,4500,4371,4500,0,9.64933133115,5.95807105832,1.73205080757,9.64933133115,0,false,129,0.0286666666667
stress_full_rows,in_shear,in_shear:trial_120,held_out,launch,right_accel_residual_tail,4500,4491,4500,0,3.89376760635,3.64200888186,1.73205080757,3.89376760635,0,false,9,0.002
stress_full_rows,in_shear,in_shear:trial_120,held_out,launch,yaw_rate_residual_tail,4500,4500,4500,0,19.8485692147,19.8485692147,1.73205080757,19.8485692147,0,false,0,0
stress_full_rows,in_shear,in_shear:trial_120,held_out,yaw_launch,forward_accel_residual_tail,27500,27267,27500,0,5.48337924491,2.55383026817,1.73205080757,5.48337924491,0,false,233,0.00847272727273
stress_full_rows,in_shear,in_shear:trial_120,held_out,yaw_launch,right_accel_residual_tail,27500,27308,27500,0,4.55087172478,2.09384785606,1.73205080757,4.55087172478,0,false,192,0.00698181818182
stress_full_rows,in_shear,in_shear:trial_120,held_out,yaw_launch,yaw_rate_residual_tail,27500,27500,27500,0,140.418649015,140.418649015,1.73205080757,140.418649015,0,false,0,0
stress_full_rows,in_shear,in_shear:trial_120,validation,SEC_20_LAUNCH,forward_accel_residual_tail,11936,11689,11936,0,8.10425090445,4.84188067072,1.73205080757,8.10425090445,0,false,247,0.0206936997319
stress_full_rows,in_shear,in_shear:trial_120,validation,SEC_20_LAUNCH,right_accel_residual_tail,11936,11922,11936,0,2.84383525118,2.6219119019,1.73205080757,2.84383525118,0,false,14,0.00117292225201
stress_full_rows,in_shear,in_shear:trial_120,validation,SEC_20_LAUNCH,yaw_rate_residual_tail,11936,11936,11936,0,12.9659722936,12.9659722936,1.73205080757,12.9659722936,0,false,0,0
stress_full_rows,in_shear,in_shear:trial_120,validation,launch,forward_accel_residual_tail,6110,5884,6110,0,12.7640167091,5.24868506267,1.73205080757,12.7640167091,0,false,226,0.0369885433715
stress_full_rows,in_shear,in_shear:trial_120,validation,launch,right_accel_residual_tail,6110,6089,6110,0,4.05555233825,3.48110387939,1.73205080757,4.05555233825,0,false,21,0.00343698854337
stress_full_rows,in_shear,in_shear:trial_120,validation,launch,yaw_rate_residual_tail,6110,6110,6110,0,152.622072226,152.622072226,1.73205080757,152.622072226,0,false,0,0
stress_full_rows,in_shear,in_shear:trial_120,validation,mixed_launch,forward_accel_residual_tail,18572,17245,18572,0,16.9108201124,6.52174642981,1.73205080757,16.9108201124,0,false,1327,0.0714516476416
stress_full_rows,in_shear,in_shear:trial_120,validation,mixed_launch,right_accel_residual_tail,18572,18372,18572,0,6.07197374278,4.62270962331,1.73205080757,6.07197374278,0,false,200,0.0107688994185
stress_full_rows,in_shear,in_shear:trial_120,validation,mixed_launch,yaw_rate_residual_tail,18572,18572,18572,0,52.3744430895,52.3744430895,1.73205080757,52.3744430895,0,false,0,0
stress_full_rows,in_shear,in_shear:trial_120,validation,yaw_launch,forward_accel_residual_tail,30986,24538,30986,0,178.213925419,5.49866584905,1.73205080757,178.213925419,0,false,6448,0.208093977926
stress_full_rows,in_shear,in_shear:trial_120,validation,yaw_launch,right_accel_residual_tail,30986,26327,30986,0,53.4335181432,5.00995517817,1.73205080757,53.4335181432,0,false,4659,0.150358226296
stress_full_rows,in_shear,in_shear:trial_120,validation,yaw_launch,yaw_rate_residual_tail,30986,30986,30986,0,7724.37418178,7724.37418178,1.73205080757,7724.37418178,0,false,0,0
