candidate_id,split,stage,log_parameter,measurement_dimension,parameter_field,parameter_value_kind,parameter_value,launch_command_signature,count,accepted_count,rejected_count,rejected_rate,rejected_rate_penalty,finite_count,nonfinite_count,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,accepted_only_sum_nis,accepted_only_sum_nis_sq,accepted_only_rms_nis,accepted_only_sqrt_mean_nis,physical_residual_rms,segment_count
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,"pair=-0.18,-0.18;linear=-0.18;yaw=0",1228,1228,0,0,0,1228,0,188.857774146,153.196224568,0.353203377489,0.392164475302,188.857774146,153.196224568,0.353203377489,0.392164475302,1.25616496199,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,"pair=0.18,0.18;linear=0.18;yaw=0",1235,1235,0,0,0,1235,0,223.7130957,210.827015132,0.413170828726,0.425610393487,223.7130957,210.827015132,0.413170828726,0.425610393487,1.36214492049,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,"pair=-0.18,-0.18;linear=-0.18;yaw=0",1233,1233,0,0,0,1233,0,20.0273037199,7.45860951254,0.0777763211617,0.127447025459,20.0273037199,7.45860951254,0.0777763211617,0.127447025459,0.50126437999,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,"pair=0.18,0.18;linear=0.18;yaw=0",1226,1226,0,0,0,1226,0,13.8132976714,2.30783808674,0.0433867813402,0.106145955377,13.8132976714,2.30783808674,0.0433867813402,0.106145955377,0.510026531779,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.19,"pair=-0.18,-0.18;linear=-0.18;yaw=0",1231,1231,0,0,0,1231,0,25.0454550157,7.61379538837,0.0786450828492,0.142638064334,25.0454550157,7.61379538837,0.0786450828492,0.142638064334,0.571847006157,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.19,"pair=0.18,0.18;linear=0.18;yaw=0",1227,1227,0,0,0,1227,0,17.325264582,3.98853058552,0.0570143505972,0.11882769052,17.325264582,3.98853058552,0.0570143505972,0.11882769052,0.553610383552,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.2,"pair=-0.2,-0.2;linear=-0.2;yaw=0",1231,1231,0,0,0,1231,0,143.735895577,128.640010971,0.323265239527,0.341706777802,143.735895577,128.640010971,0.323265239527,0.341706777802,1.23899712988,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.2,"pair=0.2,0.2;linear=0.2;yaw=0",1233,1233,0,0,0,1233,0,158.123178164,208.625947657,0.411341590434,0.358109819006,158.123178164,208.625947657,0.411341590434,0.358109819006,1.29740023917,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.21,"pair=-0.22,-0.22;linear=-0.22;yaw=0",1233,1233,0,0,0,1233,0,56.3997803316,38.729472004,0.177230821229,0.213873594209,56.3997803316,38.729472004,0.177230821229,0.213873594209,0.911924135076,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.21,"pair=0.22,0.22;linear=0.22;yaw=0",1232,1232,0,0,0,1232,0,41.5882090467,56.3220401196,0.213812865973,0.183729864712,41.5882090467,56.3220401196,0.213812865973,0.183729864712,0.768324370505,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.22,"pair=-0.22,-0.22;linear=-0.22;yaw=0",1233,1233,0,0,0,1233,0,117.544487285,190.001187418,0.392551480156,0.308758977968,117.544487285,190.001187418,0.392551480156,0.308758977968,1.28883784713,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.22,"pair=0.22,0.22;linear=0.22;yaw=0",1233,1233,0,0,0,1233,0,129.207349634,152.898780684,0.352144145682,0.323714438698,129.207349634,152.898780684,0.352144145682,0.323714438698,1.36574121037,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.23,"pair=-0.24,-0.24;linear=-0.24;yaw=0",1228,1228,0,0,0,1228,0,8.94474117051,0.869047596444,0.0266025089502,0.0853463015086,8.94474117051,0.869047596444,0.0266025089502,0.0853463015086,0.522789609082,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.23,"pair=0.24,0.24;linear=0.24;yaw=0",1236,1236,0,0,0,1236,0,8.38108824825,0.872427328285,0.0265677878827,0.0823457086607,8.38108824825,0.872427328285,0.0265677878827,0.0823457086607,0.515413637662,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.24,"pair=-0.24,-0.24;linear=-0.24;yaw=0",1233,1233,0,0,0,1233,0,11.4121114745,1.16052364459,0.0306793008538,0.096205846297,11.4121114745,1.16052364459,0.0306793008538,0.096205846297,0.604462825677,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.24,"pair=0.24,0.24;linear=0.24;yaw=0",1229,1229,0,0,0,1229,0,14.25057065,19.5747816308,0.126203826094,0.1076812743,14.25057065,19.5747816308,0.126203826094,0.1076812743,0.547586221343,5
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=-0.24,-0.24;linear=-0.24;yaw=0",6236,6094,142,0.0227710070558,0.0455420141116,6236,0,20245.6819974,2133341.14598,18.4959695433,1.80182725644,3939.09656859,12540.2826648,1.43450622758,0.803983413148,3.62132843943,25
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=0.24,0.24;linear=0.24;yaw=0",6230,6133,97,0.015569823435,0.03113964687,6230,0,16711.9139734,1927154.28678,17.587909383,1.637830945,3901.74733405,13882.6839101,1.50452786423,0.797614588714,3.54627315831,25
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.3,"pair=-0.3,-0.3;linear=-0.3;yaw=0",5000,4796,204,0.0408,0.0816,5000,0,27647.8360535,2864126.96247,23.9337709627,2.3515031811,5486.54676993,26281.5404017,2.34091595106,1.06957182881,4.80319430352,20
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.3,"pair=0.3,0.3;linear=0.3;yaw=0",5000,4704,296,0.0592,0.1184,5000,0,41413.8014464,5106255.02837,31.9570180974,2.87797850744,5733.79192474,29087.4623802,2.48667633187,1.1040463538,5.26628131073,20
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.35,"pair=-0.34,-0.34;linear=-0.34;yaw=0",5000,4635,365,0.073,0.146,5000,0,45231.0688929,4782721.63899,30.9280508244,3.00769243417,6690.97492386,41509.9355346,2.9926171484,1.20148909082,5.53347610573,20
shear_rate,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.35,"pair=0.34,0.34;linear=0.34;yaw=0",5000,4668,332,0.0664,0.1328,5000,0,46359.6118069,5562271.81007,33.353476011,3.04498314632,7299.97859482,40646.1524833,2.95083072858,1.25053361317,5.75027576907,20
shear_rate,all,SEC_20_LAUNCH,right_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,"pair=-0.18,-0.18;linear=-0.18;yaw=0",1228,1228,0,0,0,1228,0,222.902896163,182.141350531,0.385127998658,0.426048138618,222.902896163,182.141350531,0.385127998658,0.426048138618,0.601295398957,5
shear_rate,all,SEC_20_LAUNCH,right_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,"pair=0.18,0.18;linear=0.18;yaw=0",1235,1235,0,0,0,1235,0,255.25379466,254.259496455,0.453737958277,0.454624278435,255.25379466,254.259496455,0.453737958277,0.454624278435,0.645551783418,5
shear_rate,all,SEC_20_LAUNCH,right_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,"pair=-0.18,-0.18;linear=-0.18;yaw=0",1233,1233,0,0,0,1233,0,89.5102131773,43.9798277033,0.188862277914,0.269435463366,89.5102131773,43.9798277033,0.188862277914,0.269435463366,0.379311104879,5
shear_rate,all,SEC_20_LAUNCH,right_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,"pair=0.18,0.18;linear=0.18;yaw=0",1226,1226,0,0,0,1226,0,90.5659424388,32.1887007268,0.162034125076,0.271792344744,90.5659424388,32.1887007268,0.162034125076,0.271792344744,0.379748075719,5
shear_rate,all,SEC_20_LAUNCH,right_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.19,"pair=-0.18,-0.18;linear=-0.18;yaw=0",1231,1231,0,0,0,1231,0,96.1913317756,50.1640493716,0.201867900786,0.279536769794,96.1913317756,50.1640493716,0.201867900786,0.279536769794,0.391725832284,5
shear_rate,all,SEC_20_LAUNCH,right_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.19,"pair=0.18,0.18;linear=0.18;yaw=0",1227,1227,0,0,0,1227,0,104.725601088,41.0536641002,0.182916836155,0.292148828736,104.725601088,41.0536641002,0.182916836155,0.292148828736,0.407064322074,5
shear_rate,all,SEC_20_LAUNCH,right_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.2,"pair=-0.2,-0.2;linear=-0.2;yaw=0",1231,1231,0,0,0,1231,0,261.336917561,231.113989463,0.433295412239,0.460756378074,261.336917561,231.113989463,0.433295412239,0.460756378074,0.649628608996,5
shear_rate,all,SEC_20_LAUNCH,right_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.2,"pair=0.2,0.2;linear=0.2;yaw=0",1233,1233,0,0,0,1233,0,278.939619351,276.412393345,0.473475179514,0.475634735637,278.939619351,276.412393345,0.473475179514,0.475634735637,0.67287677342,5
