phase,candidate_id,trial_id,split,stage,log_parameter,count,accepted_count,finite_count,nonfinite_count,rms_nis,accepted_only_rms_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,rejected_count,rejected_rate
stress_full_rows,skew_shear,skew_shear:trial_172,held_out,launch,forward_accel_residual_tail,4500,4477,4500,0,5.12722114322,4.39307915881,1.73205080757,5.12722114322,0,false,23,0.00511111111111
stress_full_rows,skew_shear,skew_shear:trial_172,held_out,launch,right_accel_residual_tail,4500,4499,4500,0,2.1456196482,2.08501497583,1.73205080757,2.1456196482,0,false,1,0.000222222222222
stress_full_rows,skew_shear,skew_shear:trial_172,held_out,launch,yaw_rate_residual_tail,4500,4500,4500,0,15.4951950587,15.4951950587,1.73205080757,15.4951950587,0,false,0,0
stress_full_rows,skew_shear,skew_shear:trial_172,held_out,yaw_launch,forward_accel_residual_tail,27500,27399,27500,0,3.27444952999,2.25595039944,1.73205080757,3.27444952999,0,false,101,0.00367272727273
stress_full_rows,skew_shear,skew_shear:trial_172,held_out,yaw_launch,right_accel_residual_tail,27500,27316,27500,0,4.26621551355,2.08252006367,1.73205080757,4.26621551355,0,false,184,0.00669090909091
stress_full_rows,skew_shear,skew_shear:trial_172,held_out,yaw_launch,yaw_rate_residual_tail,27500,27500,27500,0,337.751622038,337.751622038,1.73205080757,337.751622038,0,false,0,0
stress_full_rows,skew_shear,skew_shear:trial_172,validation,SEC_20_LAUNCH,forward_accel_residual_tail,11936,11886,11936,0,4.8571100532,3.62789120065,1.73205080757,4.8571100532,0,false,50,0.0041890080429
stress_full_rows,skew_shear,skew_shear:trial_172,validation,SEC_20_LAUNCH,right_accel_residual_tail,11936,11931,11936,0,1.68954579028,1.5617737171,1.73205080757,1.73205080757,0.0425050172917,false,5,0.00041890080429
stress_full_rows,skew_shear,skew_shear:trial_172,validation,SEC_20_LAUNCH,yaw_rate_residual_tail,11936,11936,11936,0,9.74955002463,9.74955002463,1.73205080757,9.74955002463,0,false,0,0
stress_full_rows,skew_shear,skew_shear:trial_172,validation,launch,forward_accel_residual_tail,6110,6041,6110,0,7.80265048763,3.94480816503,1.73205080757,7.80265048763,0,false,69,0.0112929623568
stress_full_rows,skew_shear,skew_shear:trial_172,validation,launch,right_accel_residual_tail,6110,6101,6110,0,2.42155482748,2.00094536034,1.73205080757,2.42155482748,0,false,9,0.00147299509002
stress_full_rows,skew_shear,skew_shear:trial_172,validation,launch,yaw_rate_residual_tail,6110,6110,6110,0,124.284240757,124.284240757,1.73205080757,124.284240757,0,false,0,0
stress_full_rows,skew_shear,skew_shear:trial_172,validation,mixed_launch,forward_accel_residual_tail,18572,18172,18572,0,9.22102984636,4.92462188825,1.73205080757,9.22102984636,0,false,400,0.021537798837
stress_full_rows,skew_shear,skew_shear:trial_172,validation,mixed_launch,right_accel_residual_tail,18572,18484,18572,0,4.35536015561,3.03895106674,1.73205080757,4.35536015561,0,false,88,0.00473831574413
stress_full_rows,skew_shear,skew_shear:trial_172,validation,mixed_launch,yaw_rate_residual_tail,18572,18572,18572,0,47.000507524,47.000507524,1.73205080757,47.000507524,0,false,0,0
stress_full_rows,skew_shear,skew_shear:trial_172,validation,yaw_launch,forward_accel_residual_tail,30986,24115,30986,0,210.484513264,5.29852874074,1.73205080757,210.484513264,0,false,6871,0.221745304331
stress_full_rows,skew_shear,skew_shear:trial_172,validation,yaw_launch,right_accel_residual_tail,30986,25990,30986,0,68.2152790298,4.97839019663,1.73205080757,68.2152790298,0,false,4996,0.161234105725
stress_full_rows,skew_shear,skew_shear:trial_172,validation,yaw_launch,yaw_rate_residual_tail,30986,30986,30986,0,7723.96602115,7723.96602115,1.73205080757,7723.96602115,0,false,0,0
