candidate_id,split,stage,log_parameter,measurement_dimension,parameter_field,parameter_value_kind,parameter_value,launch_command_signature,count,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,segment_count
baseline/current_holdover,all,smoke,forward_accel_nis,1,,,,,5,121.45055227,13127.88295,51.240380463,4.92849981779,4,1,1
baseline/current_holdover,all,smoke,right_accel_nis,1,,,,,5,28.1829834289,763.449671844,12.35677686,2.37415178238,4,1,1
baseline/current_holdover,all,smoke,yaw_rate_nis,1,,,,,5,432.779966357,95324.9316043,138.076016458,9.3035473488,5,0,1
baseline/current_holdover,train,smoke,forward_accel_nis,1,,,,,5,121.45055227,13127.88295,51.240380463,4.92849981779,4,1,1
baseline/current_holdover,train,smoke,right_accel_nis,1,,,,,5,28.1829834289,763.449671844,12.35677686,2.37415178238,4,1,1
baseline/current_holdover,train,smoke,yaw_rate_nis,1,,,,,5,432.779966357,95324.9316043,138.076016458,9.3035473488,5,0,1
candidate_1_algebraic_envelope,all,smoke,forward_accel_nis,1,,,,,5,121.483920318,13147.292712,51.2782462882,4.92917681399,4,1,1
candidate_1_algebraic_envelope,all,smoke,right_accel_nis,1,,,,,5,27.5419230075,726.602329561,12.0548938574,2.34699480219,4,1,1
candidate_1_algebraic_envelope,all,smoke,yaw_rate_nis,1,,,,,5,431.098844274,94835.8135907,137.721322671,9.28546007771,5,0,1
candidate_1_algebraic_envelope,train,smoke,forward_accel_nis,1,,,,,5,121.483920318,13147.292712,51.2782462882,4.92917681399,4,1,1
candidate_1_algebraic_envelope,train,smoke,right_accel_nis,1,,,,,5,27.5419230075,726.602329561,12.0548938574,2.34699480219,4,1,1
candidate_1_algebraic_envelope,train,smoke,yaw_rate_nis,1,,,,,5,431.098844274,94835.8135907,137.721322671,9.28546007771,5,0,1
candidate_2_stribeck,all,smoke,forward_accel_nis,1,,,,,5,116.147893429,11711.4271801,48.3971635121,4.81970732367,4,1,1
candidate_2_stribeck,all,smoke,right_accel_nis,1,,,,,5,40.3175848999,1574.50272264,17.7454372876,2.83963324744,4,1,1
candidate_2_stribeck,all,smoke,yaw_rate_nis,1,,,,,5,435.90423128,97923.0015345,139.944990289,9.33706839731,5,0,1
candidate_2_stribeck,train,smoke,forward_accel_nis,1,,,,,5,116.147893429,11711.4271801,48.3971635121,4.81970732367,4,1,1
candidate_2_stribeck,train,smoke,right_accel_nis,1,,,,,5,40.3175848999,1574.50272264,17.7454372876,2.83963324744,4,1,1
candidate_2_stribeck,train,smoke,yaw_rate_nis,1,,,,,5,435.90423128,97923.0015345,139.944990289,9.33706839731,5,0,1
candidate_3_load_sensitive,all,smoke,forward_accel_nis,1,,,,,5,126.057420846,14414.852752,53.6933007962,5.02110387954,4,1,1
candidate_3_load_sensitive,all,smoke,right_accel_nis,1,,,,,5,51.6443951003,2649.53879378,23.0197254274,3.21385734283,4,1,1
candidate_3_load_sensitive,all,smoke,yaw_rate_nis,1,,,,,5,430.964659824,94764.484249,137.66952041,9.28401486237,5,0,1
candidate_3_load_sensitive,train,smoke,forward_accel_nis,1,,,,,5,126.057420846,14414.852752,53.6933007962,5.02110387954,4,1,1
candidate_3_load_sensitive,train,smoke,right_accel_nis,1,,,,,5,51.6443951003,2649.53879378,23.0197254274,3.21385734283,4,1,1
candidate_3_load_sensitive,train,smoke,yaw_rate_nis,1,,,,,5,430.964659824,94764.484249,137.66952041,9.28401486237,5,0,1
