candidate_id,segment_id,split,stage,run_id,source_path,source_row_index,master_time_us,dt_s,left_command,right_command,left_wheel_rate_radps,right_wheel_rate_radps,fan_duty_cycle,px_m,py_m,heading_rad,vf_mps,vr_mps,yaw_rate_radps,delta_af_mps2,delta_ar_mps2,delta_yaw_accel_radps2,predicted_forward_accel_mps2,predicted_right_accel_mps2,predicted_yaw_accel_radps2,measured_yaw_rate_radps,measured_forward_accel_mps2,measured_right_accel_mps2,yaw_rate_residual_radps,forward_accel_residual_mps2,right_accel_residual_mps2,max_contact_relative_speed_mps,load_weighted_contact_relative_speed_mps,load_weighted_lateral_relative_speed_mps,load_weighted_yaw_contact_speed_mps,max_contact_utilization,max_contact_saturation,total_normal_load_n,ground_use
baseline/current_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,0,0,0.001,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.932931,0
baseline/current_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,1,1000,0.001,0.18,0.18,2.2,2.2,0.8,-2.83796755772e-07,3.85705995017e-05,8.79878823748e-06,0.020711673993,-0.000125706048675,0.0090428977677,0.000479139481102,0.00245209747346,0.271093697175,3.00099261941,0.0298887338221,-0.722929263223,0.012,1.85,0.03,0.0029571022323,-1.15099261941,0.000111266177914,0.00741752510638,0.00704311828832,0.000183283841504,0.000405252326162,0.13419616693,0,1.932931,0
baseline/current_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,2,2000,0.001,0.18,0.18,4.6,4.6,0.8,4.88646663739e-06,9.10239099267e-05,2.4517323995e-05,0.037892689433,0.00133159485275,0.0287887307606,0.10428797125,0.0190709314013,-0.0665548890332,5.10068495368,0.106696973365,-8.5362403051,0.018,2.75,0.06,-0.0107887307606,-2.35068495368,-0.046696973365,0.0214037507312,0.0201985864709,0.00139766186822,0.00129015061407,0.243903729212,0,1.932931,0
baseline/current_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,3,3000,0.001,0.22,-0.22,4,-4,0.8,6.28636395529e-05,9.46934032551e-05,0.000760952337408,0.0220738714414,0.0121446345247,0.722210521317,-0.874140040498,0.524734203042,32.0613172021,1.00326283336,-8.94879928278,237.224553484,1.06,0.2,1.55,0.337789478683,-0.803262833356,10.4987992828,0.0477458018685,0.0338135344963,0.0161545704078,0.0323654542228,0.670735568962,0,1.932931,0
baseline/current_holdover,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,4,4000,0.001,0.9,0.9,10,10,0.8,6.95768991469e-05,0.000133465032184,0.000940800817645,0.0412432259461,0.00872175662541,0.456341323536,0.078952924731,-0.095514019651,-23.5011303609,15.5104449713,-0.631989045807,-35.8251791853,0.03,30,0,-0.426341323536,14.4895550287,0.631989045807,0.105307932105,0.0877209857331,0.0110170714971,0.0204506771654,2.34766719444,0.574045246972,1.932931,0.272730803301
candidate_1_algebraic_envelope,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,0,0,0.001,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.932931,0
candidate_1_algebraic_envelope,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,1,1000,0.001,0.18,0.18,2.2,2.2,0.8,-2.72567552423e-07,3.83157562078e-05,8.84058211253e-06,0.0205874994768,-0.000120728093486,0.00905992456883,0.000428453378423,0.00243128112886,0.268782373779,3.00728067697,0.0298940684398,-0.73087498867,0.012,1.85,0.03,0.00294007543117,-1.15728067697,0.000105931560157,0.00754218431098,0.00716702877711,0.000180092444083,0.000406015372582,0.132091689526,0,1.932931,0
candidate_1_algebraic_envelope,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,2,2000,0.001,0.18,0.18,4.6,4.6,0.8,4.94810574175e-06,9.05757498858e-05,2.50013738334e-05,0.0378421913382,0.00134811301968,0.0289670312863,0.108521216026,0.0191862292296,-0.0556374137154,5.09856796818,0.107653553274,-8.61008983926,0.018,2.75,0.06,-0.0109670312863,-2.34856796818,-0.0476535532745,0.0214631742623,0.0202504755166,0.00141420047836,0.00129814105084,0.239512010605,0,1.932931,0
candidate_1_algebraic_envelope,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,3,3000,0.001,0.22,-0.22,4,-4,0.8,6.3113979372e-05,9.46684233309e-05,0.000763258972918,0.0218860567987,0.0121444632114,0.724478246305,-0.85348074309,0.520341704515,31.7525907635,1.00548910279,-9.00220389426,237.934572223,1.06,0.2,1.55,0.335521753695,-0.805489102794,10.5522038943,0.0475126347789,0.0336452443219,0.0161765181552,0.0324670810299,0.666221889905,0,1.932931,0
candidate_1_algebraic_envelope,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,4,4000,0.001,0.9,0.9,10,10,0.8,6.91375244611e-05,0.000133227851119,0.000942896119569,0.041104468225,0.00857337472178,0.457575026513,0.101435198301,-0.102243083819,-23.8983620578,15.5071398586,-0.641057421329,-36.6858862297,0.03,30,0,-0.427575026513,14.4928601414,0.641057421329,0.105477843245,0.0878535017561,0.0109112273308,0.0205059648634,2.44065339109,0.590273652273,1.932931,0.285677376627
