candidate_id,split,stage,log_parameter,measurement_dimension,parameter_field,parameter_value_kind,parameter_value,launch_command_signature,count,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,segment_count
baseline/current_holdover,all,SEC_10_STATIC,forward_accel_nis,1,none,none,,,1559,61.1577377126,52.3885807616,0.183313841725,0.198062678724,1559,0,1
baseline/current_holdover,all,SEC_10_STATIC,right_accel_nis,1,none,none,,,1559,49.1144030546,50.6093503172,0.180174084298,0.177493060249,1559,0,1
baseline/current_holdover,all,SEC_10_STATIC,yaw_rate_nis,1,none,none,,,1559,2033.30181651,15565.1987874,3.15976131837,1.14203093136,1559,0,1
baseline/current_holdover,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=0.25,0.25;mag=0.25;linear=0;yaw=0",347,684.476023687,8874.54588809,5.05717907496,1.40447619502,346,1,1
baseline/current_holdover,all,SEC_20_LAUNCH,right_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=0.25,0.25;mag=0.25;linear=0;yaw=0",347,180.113900546,354.121702065,1.01020969956,0.720458348638,347,0,1
baseline/current_holdover,all,SEC_20_LAUNCH,yaw_rate_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=0.25,0.25;mag=0.25;linear=0;yaw=0",347,1832.71305394,35668.354442,10.1385722272,2.29817184201,347,0,1
baseline/current_holdover,all,SEC_30_STRAIGHT,forward_accel_nis,1,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",33126,218600.189515,33572367.9292,31.8351197807,2.56886196351,31839,1287,1
baseline/current_holdover,all,SEC_30_STRAIGHT,right_accel_nis,1,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",33126,60081.8427142,2016884.26724,7.80289908776,1.34675043117,32709,417,1
baseline/current_holdover,all,SEC_30_STRAIGHT,yaw_rate_nis,1,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",33126,2504076.65166,8605861730.28,509.697711035,8.69439387221,33126,0,1
baseline/current_holdover,all,SEC_50_SMOOTH,forward_accel_nis,1,smooth_speed_mps,legacy_smooth_speed_bin_mps,,,254,0.00372679825056,1.32118243555e-07,2.28068096229e-05,0.0038304613374,254,0,1
baseline/current_holdover,all,SEC_50_SMOOTH,right_accel_nis,1,smooth_speed_mps,legacy_smooth_speed_bin_mps,,,254,0.00223986221265,5.71950227965e-08,1.50059073403e-05,0.00296957154618,254,0,1
baseline/current_holdover,all,SEC_50_SMOOTH,yaw_rate_nis,1,smooth_speed_mps,legacy_smooth_speed_bin_mps,,,254,1.8656908272,0.0531168979993,0.0144610388861,0.0857043725672,254,0,1
baseline/current_holdover,all,launch,yaw_rate_nis,1,drive_command_bin,logged_drive_command_bin,0.25,"pair=0.25,0.25;mag=0.25",546,396.099569882,1407.00378575,1.60528190999,0.851737687141,546,0,1
baseline/current_holdover,all,mixed_launch,forward_accel_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,1953.95222482,27018.9122229,4.98332810764,1.34011640216,1081,7,1
baseline/current_holdover,all,mixed_launch,right_accel_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,507.729065545,1688.71057326,1.24584256175,0.683127180009,1088,0,1
baseline/current_holdover,all,mixed_launch,yaw_rate_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,4975.66954293,114051.464639,10.2384917748,2.13851015495,1088,0,1
baseline/current_holdover,all,static,yaw_rate_nis,1,none,none,,,42,6.8938453724,3.31852792557,0.281091745977,0.405140932928,42,0,1
baseline/current_holdover,all,yaw_launch,yaw_rate_nis,1,drive_command_bin,logged_drive_command_bin,-0.7,"pair=-0.7,0.7;mag=0.7",425,86974.7999981,26555959.5919,249.969219714,14.3054740652,425,0,1
baseline/current_holdover,held_out,yaw_launch,yaw_rate_nis,1,drive_command_bin,logged_drive_command_bin,-0.7,"pair=-0.7,0.7;mag=0.7",425,86974.7999981,26555959.5919,249.969219714,14.3054740652,425,0,1
baseline/current_holdover,train,SEC_10_STATIC,forward_accel_nis,1,none,none,,,1559,61.1577377126,52.3885807616,0.183313841725,0.198062678724,1559,0,1
