phase,candidate_id,trial_id,selection_score,sample_count
train_screen,baseline/current_holdover,baseline/current_holdover:fixed,19.2587377305,320
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_001,18.1405456226,320
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:nominal,19.330836931,320
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_002,19.6233600834,320
train_screen,candidate_2_stribeck,candidate_2_stribeck:trial_002,19.097703365,320
train_screen,candidate_2_stribeck,candidate_2_stribeck:nominal,20.3688321435,320
train_screen,candidate_2_stribeck,candidate_2_stribeck:trial_001,21.337898021,320
train_screen,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_002,19.3421212918,320
train_screen,candidate_3_load_sensitive,candidate_3_load_sensitive:nominal,20.6258572465,320
train_screen,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_001,23.0737291798,320
validation_select,baseline/current_holdover,baseline/current_holdover:fixed,22.4811356178,320
validation_select,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_001,22.0603489499,320
validation_select,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:nominal,22.5431366085,320
validation_select,candidate_2_stribeck,candidate_2_stribeck:trial_002,22.5760514056,320
validation_select,candidate_2_stribeck,candidate_2_stribeck:nominal,23.2055414719,320
validation_select,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_002,22.8457588408,320
validation_select,candidate_3_load_sensitive,candidate_3_load_sensitive:nominal,23.7776834072,320
